ID,LOC1,LOC2,LOC3,PREDICTED
SPARCL1,extracellular matrix,secreted protein,nan,extracellular
SPATA21,cytosol,vesicles,nan,mitochondrion / peroxisome / nucleus
SPEG,nan,nan,nan,nucleus
SPG7,MCU regulation,nan,nan,mitochondrion
SPHK1,Ca2+ influx,CaMKII interaction,nan,membrane / endosome / cytosol
SPHK1 ,nan,nan,nan,NA
SPHK2,Ca2+ influx,nan,nan,nucleus / cytosol
SPOCK1,secreted protein,extracellular matrix,nan,extracellular
SPOCK2,secreted protein,extracellular matrix,nan,nucleus
SPOCK3,secreted protein,extracellular matrix,nan,membrane / cytoskeleton / nucleus
SPPL3,ER,Golgi apparatus,nan,membrane / plasma
SPR,nan,nan,nan,cytosol
