ID,LOC1,LOC2,LOC3,PREDICTED
MYL6,nan,nan,nan,cytoskeleton / cytosol
MYL6B,nan,nan,nan,cytoskeleton / cytosol
MYL7,nan,nan,nan,cytoskeleton / cytosol
MYL9,nan,nan,nan,cytoskeleton / cytosol
MYLK ,nan,nan,nan,NA
MYLK2,nan,nan,nan,nucleus
MYLK3,nan,nan,nan,cytoskeleton / cytosol
MYLPF,nan,nan,nan,cytoskeleton / cytosol
MYO10,nan,nan,nan,membrane / nucleus / cytosol
MYO15A,nan,nan,nan,cytoskeleton
MYO1A,nan,nan,nan,membrane / cytoskeleton
MYO1B,nan,nan,nan,membrane / cytoskeleton / endosome
MYO1C,nan,nan,nan,membrane / cytoskeleton / nucleus / cytosol
MYO1D,nan,nan,nan,membrane / extracellular / cytoskeleton / plasma / endosome / cytosol
MYO1E,nan,nan,nan,cytoskeleton
MYO1F,nan,nan,nan,cytosol
MYO1G,nan,nan,nan,membrane / extracellular / cytoskeleton / nucleus
MYO3A,nan,nan,nan,cytosol
MYO5A,nan,nan,nan,cytosol
MYO5B,nan,nan,nan,extracellular / cytoskeleton
MYO5C,nan,nan,nan,extracellular / cytoskeleton / cytosol
MYO6,nan,nan,nan,cytoskeleton / nucleus / cytosol
MYO7A,nan,nan,nan,cytosol / lysosome
MYO9B,nan,nan,nan,cytoskeleton / cytosol
MYOC,nan,nan,nan,mitochondrion / reticulum
MYOF,nan,nan,nan,membrane / nucleus
MYOZ1,nan,nan,nan,nucleus
MYOZ2 ,nan,nan,nan,NA
MYOZ3 ,nan,nan,nan,NA
MZB1,nan,nan,nan,reticulum
NALCN ,nan,nan,nan,NA
NAPA,nan,nan,nan,cytosol
NCALD,nan,nan,nan,cytosol
NCDN,nan,nan,nan,cytosol
NCS1,nan,nan,nan,membrane
NECAB1,nan,nan,nan,cytosol
NECAB2,nan,nan,nan,membrane
NECAB3,nan,nan,nan,nucleus / reticulum
NEDD4 ,nan,nan,nan,NA
NEDD4L,nan,nan,nan,nucleus / cytosol
NEUROD2,nan,nan,nan,nucleus
NFAM1,nan,nan,nan,membrane
NFATC1,nan,nan,nan,nucleus / cytosol
NFATC2,nan,nan,nan,nucleus / cytosol
NFATC3,nan,nan,nan,nucleus / cytosol
NFATC4,nan,nan,nan,nucleus / cytosol
NID1,nan,nan,nan,extracellular
NID2,nan,nan,nan,membrane / extracellular
NIN,nan,nan,nan,cytoskeleton / nucleus
NINL,nan,nan,nan,cytosol
NIPSNAP2 ,nan,nan,nan,NA
NKD1,nan,nan,nan,membrane
NKD2,nan,nan,nan,membrane
NLGN1,nan,nan,nan,membrane
NLGN2,nan,nan,nan,membrane
